project_id,sprite_name
500010566,Avery
500010597,Sprite1
500010629,Tree1
270012793,Sprite1
500010661,Wizard Girl
500010666,Avery
500010677,Balloon1
500010690,Devin
500010694,Avery
500010697,Sprite1
500010699,Sprite1
500010714,Keyboard
500010744,Sprite1
500010756,Harper
500010764,Dinosaur4
500010772,Avery
500010779,Avery
500010793,Pitcher
500010800,Block-T
270012971,Sprite1
500010824,Dot
500010840,Sprite1
500010841,Sprite1
500010864,Glow-J
270013024,Sprite1
500010871,Block-R
500010877,Apple
270013048,Earth
500010901,Sprite1
270013070,Sprite1
500010925,Sprite1
500010935,Story-A
270013101,Donut
500010944,Sprite1
500010949,Pencil
500010951,Avery
500010957,Dove
500010965,Butterfly 1
500010971,Sprite1
500010974,Avery
500011002,Bear-walking
500011031,Max
500011049,Sprite1
270013217,Gobo
500011055,Toucan
500011061,Cat
270013248,Sprite1
270013277,Princess
500011142,Sprite1
500011144,Monkey
270013318,Devin
500011170,Paddle
500011174,Marian
500011175,Ball
500011179,Cat Flying
500011185,Shark 2
500011195,Parrot
500011197,Fortune Cookie
500011226,Sprite1
270013373,Sprite1
500011254,Sprite1
500011269,Sprite1
500011282,Dinosaur3
270013435,Sprite1
500011341,Ruby
270013483,Sprite1
500011358,Block-A
500011366,Rooster
270013506,Sprite1
500011375,Pencil
500011382,Sprite1
500011383,Dinosaur1
500011387,Lion
500011391,Goblin
500011408,Sprite1
500011416,Cat Flying
500011418,Wizard
500011430,Sprite1
500011456,Crab
500011467,Harper
500011469,Cat
270013609,Beetle
270013625,Sprite1
500011521,Sprite1
500011552,Sprite1
500011557,Horse
500011582,Sprite1
500011592,Bear
270013718,Sprite1
500011594,Kiran
500011604,Sprite1
500011607,Ball
500011630,Abby
500011634,Sprite1
270013771,Sprite1
500011670,Sprite1
500011679,Sprite1
500011681,Ball
500011698,Pufferfish
500011712,Crab
500011715,Block-H
270013833,Sprite1
500011723,Fish
500011726,Glow-K
270013851,Sprite1
500011747,Griffin
500011753,Frank
500011762,D-Money Dance
500011781,Cat Flying
500011787,Ball
500011798,Button1
500011830,Hen
500011832,Andie
270013961,Diver2
500011850,Sprite1
270013974,Unicorn
500011880,Sprite1
500011897,Sprite1
500011914,Ballerina
500011938,Sprite1
270014059,Sprite1
500011970,Dee
500011981,Paddle
500011983,Block-Y
500012003,Sprite1
500012004,Block-L
500012014,Sprite1
500012027,Sprite1
500012039,Key
270014148,Sprite1
500012061,Dog2
500012064,Sprite1
500012072,Bananas
500012094,Diver2
500012116,Crab
500012121,Sprite1
270014266,Sprite1
500012168,Sprite1
270014297,Sprite1
270014301,Reindeer
500012201,Beetle
500012209,Sprite1
270014317,Sprite1
500012214,Abby
500012218,Sprite1
500012226,Jaime
500012227,Sprite1
500012244,Glow-J
270014367,Sprite1
500012269,Ghost
500012279,Dee
500012288,Gift
500012301,Cat Flying
500012350,Sprite1
500012384,Mouse1
500012401,Dinosaur4
270014525,Sprite1
270014530,Dog1
270014549,Sprite1
500012465,Diver1
500012466,Sprite1
270014565,Gobo
500012469,Sprite1
500012494,Tatiana
500012500,Saxophone
500012510,Sprite1
270014607,Sprite1
270014616,Sprite1
500012532,Sprite1
500012543,Bear-walking
500012554,Sprite1
500012558,Pencil
500012564,Ruby
270014665,Sprite1
500012598,Fairy
500012614,Monkey
500012621,Sprite1
270014711,Sprite1
500012629,Sprite1
500012654,Bananas
500012665,Knight
500012670,Devin
500012717,Penguin
500012722,Sprite1
500012734,Sprite1
270014832,Beachball
500012739,Champ99
500012743,Sprite1
500012759,Sprite1
500012764,Shark
500012789,Balloon1
500012790,Sprite1
500012793,Cat Flying
500012801,Penguin 2
270014911,Sprite1
270014912,Nano
500012815,Sprite1
270014927,Sprite1
500012825,Sprite1
270014931,Sprite1
500012836,Bear
500012837,Devin
500012850,Sprite1
500012851,Sprite1
500012855,Cat
500012857,Sprite1
500012860,Sprite1
500012869,Sprite1
500012872,Knight
500012899,Button2
500012915,Avery
500012937,Bowl
500012939,Cat
270015099,Sprite1
500012959,Block-I
500012979,Laptop
500012988,Shark
500013049,Rocketship
500013057,Block-C
500013058,Block-K
500013063,Sprite1
500013095,Sprite1
500013103,Block-S
500013116,Sprite1
500013133,Block-U
500013142,Sprite1
500013143,Bread
500013146,Squirrel
500013151,Sprite1
500013158,Beetle
500013160,Sprite1
270015301,Sprite1
500013168,Anina Dance
500013231,Abby
500013233,Dragon
270015368,Tera
500013251,Pencil
500013255,Sprite1
500013256,Block-A
500013266,Cat 2
500013298,Hare
270015431,Sprite1
500013313,Convertible 2
500013356,Ballerina
500013358,Gobo
270015482,Sprite1
500013366,Wizard Girl
500013384,Giraffe
500013389,Sprite1
500013391,Dinosaur2
500013399,Sprite1
270015521,Reindeer
500013408,Sprite1
270015527,Sprite1
500013413,Block-H
500013418,Wizard Girl
500013439,Sprite1
270015561,Sprite1
270015566,Sprite1
500013478,Sprite1
500013491,Parrot
270015608,Apple
500013508,Ghost
500013532,Sprite1
270015632,Sprite1
270015637,Sprite1
500013544,Sprite1
500013546,Sprite1
500013547,Sprite1
500013551,Sprite1
500013552,Sprite1
500013553,Cat Flying
500013566,Avery
500013580,Avery
500013589,Tera
500013607,Sprite1
500013631,Beachball
500013633,Dinosaur1
500013635,Sprite1
270015730,Sprite1
500013642,Bear-walking
500013648,D-Money Dance
500013650,Shark 2
270015743,Sprite1
500013655,Avery
500013676,Sprite1
500013695,Pico
500013704,Devin
500013722,Sprite1
500013736,Block-A
500013737,Dinosaur5
500013743,Sprite1
500013759,Diver1
500013765,Characters 1
270015858,Sprite1
500013774,Avery
270015868,Ball
500013797,Hedgehog
500013798,Abby
500013802,Pencil
500013806,Ball
500013811,Ball
500013819,Sprite1
500013841,Sprite1
500013851,Sprite1
500013873,Button2
500013880,Planet2
500013881,Sprite1
500013891,Ball
270016004,Sprite1
500013942,Cassy Dance
500013949,Sprite1
500013950,Avery
500013951,Sprite1
500013952,Abby
500013965,Donut
500013975,Dragon
500013976,Cassy Dance
500013987,Butterfly 1
500014008,Crab
500014026,Fish
500014034,Cat Flying
500014041,Sun
500014059,Button1
500014080,Bear
500014082,Buildings
500014085,Story-A
500014096,Sprite1
500014101,Puppy
500014128,Beetle
270016221,Sprite1
500014131,Casey
500014146,Fish
270016245,Sprite1
500014165,Sprite1
270016261,Dee
270016266,Sprite1
500014202,Sprite1
500014213,Sprite1
500014229,Bowl
500014238,Sprite1
500014239,Penguin
500014252,Sprite1
500014265,Key
500014278,Glow-F
500014287,Glow-J
500014290,Sprite1
500014293,Sprite1
500014296,Frog
500014297,Glow-A
500014329,Sprite1
500014332,Parrot
500014355,Sprite1
270016469,Sprite1
500014383,Motorcycle
500014386,Sprite1
500014387,Sprite1
500014402,Sprite1
500014405,Bat
500014410,Lightning
500014412,Motorcycle
270016504,Sprite1
500014441,Diver1
500014450,Lion
500014462,Giga Walking
500014482,Button2
500014493,Sprite1
500014534,Lion
270016641,Sprite1
270016645,Diver2
500014561,Giga Walking
500014579,Sprite1
500014581,Ball
500014584,Sprite1
500014586,Crystal
500014596,Monkey
500014605,Avery Walking
270016700,Sprite1
500014658,Sprite1
500014660,Glow-J
500014663,Sprite1
500014664,Sprite1
500014666,Sprite1
500014678,Sprite1
500014680,Sprite1
500014692,Sprite1
500014702,Sprite1
500014708,Retro Robot
500014724,Panther
500014726,Crab
500014741,Earth
500014760,Characters 2
500014765,Tera
270016872,Sprite1
500014816,Sprite1
500014818,Block-A
500014862,Sprite1
270016929,Sprite1
500014865,Sprite1
500014875,Sprite1
270016941,Sprite1
500014914,Elf
500014938,Sprite1
500014939,Hen
500014979,Sprite1
270017056,Sprite1
500015011,Sprite1
500015016,Sprite1
500015024,Rocketship
500015037,Jordyn
500015041,Bat
500015043,Sprite1
270017134,Sprite1
500015098,Butterfly 1
500015116,Shark
500015129,Bear-walking
500015130,Anina Dance
500015132,Wizard Girl
500015135,Sprite1
500015147,Soccer Ball
500015160,Sprite1
500015170,Button2
500015180,Cat Flying
500015213,Amon
500015235,Ball
500015237,Sprite1
500015244,Sprite1
500015252,Ball
500015255,Sprite1
500015274,Cat
500015286,Dinosaur1
500015289,Fairy
500015293,Nano
500015303,Ball
500015306,Donut
500015312,Champ99
500015328,Glow-J
500015336,Sprite1
500015343,Duck
500015391,Bat
270017462,Sprite1
500015403,Sprite1
500015405,Sprite1
500015422,Lion
500015460,Sprite1
500015461,Sprite1
500015473,Buildings
500015474,Dog1
500015475,Shark 2
500015479,Tree1
270017555,Sprite1
500015495,Cat Flying
500015499,Sprite1
500015513,Crab
500015523,Sprite1
270017594,Sprite1
500015540,Princess
500015589,Sprite1
500015590,Frank
500015626,Balloon1
270017685,Apple
270017686,Sprite1
500015633,Bear-walking
500015637,Sprite1
500015641,Dog1
270017700,Sprite1
270017707,Sprite1
500015659,Cat 2
500015660,Sailboat
500015661,Sprite1
500015671,Football
500015674,Sprite1
500015679,Bowl
500015685,Dinosaur4
500015691,Crystal
500015702,Sprite1
